"","sig126","sig127N","sig127C","sig128N","sig128C","sig129N","sig129C","sig130N","sig130C","sig131N","sig131C"
"P61963",17.1054560653515,17.2531041378138,17.1267623663932,17.3701275166345,17.0203399905098,17.1886434934201,17.1054560653515,17.3275351698931,17.1029472658932,17.2287700696563,17.1878372975091
"Q8N7N5",17.2602579915441,16.8257996018068,17.4254074075356,17.4147600992673,17.2172308942245,17.1159950484717,17.2602579915441,17.4043887543258,17.1599627234565,17.0463499638757,17.3915033156083
"Q8BHC4",16.3965024514237,16.7929244363256,16.5182342793691,16.4563542314021,16.5535948520708,16.747474650716,16.3965024514237,16.5548859238515,16.7633430182841,16.8808797208083,16.580971052616
"P70211",17.1270701208225,17.7829201103115,16.7324784189254,17.1104395238304,17.2294455640123,17.9036234359516,17.1270701208225,17.0520400368664,17.3260487613181,17.9948859995073,17.2518803802266
"E9PVD3",15.681797635456,15.9935388872342,14.6005035034827,15.1645005015596,15.3072174539111,15.7562120619266,15.681797635456,15.5742395231151,14.7822035174419,15.8608268267904,15.1161302401125
"Q9JLM8",20.3756554235992,20.3439172674963,20.4849412610463,20.3937756550754,20.3096304533071,20.234991910767,20.3756554235992,20.5131712463243,20.2116781879781,20.3841598967105,20.4533065962269
"A0A0G2JE54",17.1240521477056,17.2748157471072,17.3199654842646,17.219949080398,16.9694585519853,17.0544065879794,17.1240521477056,17.2165679501981,17.0070159646,17.1915636093839,17.1185610989404
"H7BX36",17.549640268657,17.6397098431076,17.7492522241118,17.6084262206431,17.3810048108826,17.4031274073784,17.549640268657,17.6199969528977,17.3937774931041,17.5606973789406,17.5146478600174
"Q8VDT3",20.3961805418961,20.2522532842815,20.5043616461996,20.3818952184143,20.3375247631763,20.1619728924388,20.3961805418961,20.5208136905788,20.2047262493786,20.3624036204027,20.4563751089779
"Q6PGN3",19.6245248853747,20.0835831843956,19.7046922553238,19.5989032918876,19.6190682173158,19.9367009948767,19.6245248853747,19.7240394222452,19.3337694792789,20.1123139163912,19.8110325732925
"Q91YD3",16.2704757082934,16.050697638033,16.343012750871,16.1212576591134,16.2266048534349,16.0627190090304,16.2704757082934,16.1541403152475,15.9256355132108,16.0839071276141,16.265281700997
"Q3U564",15.5015859565537,15.4075144954567,15.496082042417,15.5846473226082,15.4131980765286,15.7216667011908,15.5015859565537,15.5051250562292,15.8655917867213,15.667562094703,15.6481356696822
"Q9CYC6",15.0140160966157,14.7670507734087,15.3032489877472,15.0562139522302,14.9786430103748,14.9771081149354,15.0140160966157,15.054750121905,14.8719180024823,15.0154669922339,15.1223998952432
"Q9DAR7",19.0263385121524,19.1744089045054,18.7048878872187,18.8531132215903,18.9177368801408,19.141424139603,19.0263385121524,18.760240582624,18.9659399272958,19.0518951726297,18.8641077016628
"O08788",20.1611290061554,20.3591432257389,19.9599276540732,20.0604482202823,19.9411248089951,20.2231902632758,20.1611290061554,19.8625114394886,20.5240309455404,20.4130536724587,19.9522844170682
"Q3TB96",20.1688927008343,20.3691156008319,19.9524723375181,20.0557579977516,19.9534442600481,20.2269802210384,20.1688927008343,19.8610428800374,20.5363149080759,20.4147485640671,19.9539971273243
"D3Z2M9",17.0737358349084,17.3498451269739,17.046879894444,17.03464376072,17.1125303942356,17.3122889173845,17.0737358349084,16.9069811239953,17.8995765154637,17.3770472053088,16.997738496353
"Q99KJ8",19.93400654412,20.0811011180003,19.785436141959,19.8170853929503,19.766815912961,19.9634200706428,19.93400654412,19.5702361822138,20.3696670823816,20.1088391294312,19.8176056673016
"Q9Z0Y1",20.3116018026948,20.3898418395274,19.9713101419999,20.1380864084088,19.9386089877494,20.3267559089611,20.3116018026948,19.8717550917553,20.8259664001852,20.5449030323861,19.9823291478356
"Q8CBY8",18.3234848642639,18.5018106687939,18.1304342962528,18.3020291169684,18.0761416293698,18.3562675672527,18.3234848642639,18.0692432238037,18.8592734755793,18.5982305451814,18.1047398042807
"Q3TQY2",18.3234848642639,18.5018106687939,18.1304342962528,18.3020291169684,18.0761416293698,18.3562675672527,18.3234848642639,18.0692432238037,18.8592734755793,18.5982305451814,18.1047398042807
"Q9QZB9",18.4819245479559,18.2549788539846,18.1987273997909,18.5152734329924,18.2700855491302,18.5295804671698,18.4819245479559,18.307144356686,19.1990687703017,18.6874401757083,18.2823681111558
"Q9WUB4",18.4655874071596,18.6613470958268,18.0854342693538,18.2558327217501,18.1284661661039,18.5594249082913,18.4655874071596,18.0428888967133,19.0694187670762,18.7910204172995,18.2322028171807
"Q9QY93",16.3298231371602,16.3994241493851,16.3540019649482,16.3611079624584,16.287411888982,16.3599156756803,16.3298231371602,16.3899002078862,16.0867521078502,16.3342903669841,16.1804697253829
"Q9QZ73",19.2060131124592,19.2853021349558,19.1888464225779,19.3058546414946,19.2371442458327,19.1920680900456,19.2060131124592,19.2498198190882,19.2818043254866,19.1643284299319,19.16510920805
"Q3TMV8",19.2060131124592,19.2853021349558,19.1888464225779,19.3058546414946,19.2371442458327,19.1920680900456,19.2060131124592,19.2498198190882,19.2818043254866,19.1643284299319,19.16510920805
"Q8BZJ7",17.1114943050704,17.0411317595764,17.1628317089924,17.110881374454,17.1945556761066,17.065777140356,17.1114943050704,17.1118615667071,17.2036973709665,17.0189819022543,17.1752355262135
"Q8K0V2",16.3801722678666,15.9455692565919,16.6982418580932,16.7903880550033,16.4013284300818,16.2227881398815,16.3801722678666,16.8561079076766,15.766653517045,16.1366923888356,16.5982343306685
"Q8CCA0",16.84777153634,16.7493613257645,16.9421847411871,16.7259174569685,16.8007595115944,16.693243537219,16.84777153634,16.8332785574137,16.7928005093068,16.8320898472349,16.7504765241321
"F7A063",16.3028287296106,16.1351979506108,16.4408131252152,16.1785852751635,16.2053934141606,16.1663761494672,16.3028287296106,16.2866672505637,16.4502935676132,16.2995424935032,16.2064921107415
"Q9CXV9",13.8403438009846,13.2883907760699,14.4176521088596,14.0297436702331,14.1703853631046,14.1668516309228,13.8403438009846,14.0952215290046,14.5549023912116,13.6969969244638,14.3719900671161
