cluster	X.GN.	X.Pr0B_0h1.	X.ProB_0h2.	X.Pr0B_1h1.	X.Pr0B_1h2.	X.Pr0B_4h1.	X.Pr0B_4h2.	X.Pr0B_16h1.	X.Pr0B_16h2.	MM.blue	MM.brown	MM.green	MM.turquoise	MM.yellow
1	"sp|Q640L3|CCPG1_MOUSE"	15.1979782798156	15.0949915799768	15.2078282501402	15.1857395801149	15.2726394898961	15.3139769998463	15.076978119849	14.9382809499358	-0.709613328123356	-0.409749042334815	0.530583284160923	0.732965060619951	-0.0358324827266921
1	"sp|Q2VLH6|C163A_MOUSE"	17.4062595597821	17.3670606302841	17.4123267899704	17.3938236400264	17.3007266098586	17.1512481003406	16.7909106200351	16.6236610004727	-0.972852151499464	-0.928607496344872	-0.206262651309861	0.978271015738262	-0.704833180608018
1	"sp|Q8R2S8|CD177_MOUSE"	18.4396873599593	18.5481949601419	18.5214522399742	18.559199070073	18.4878660500247	18.4929639499586	18.0534730602533	18.0809726201243	-0.981945675271341	-0.862087203835694	-0.0137125068577439	0.979937944412127	-0.550571320929406
1	"sp|Q62192|CD180_MOUSE"	16.1516319099344	16.172726979966	16.2650152300852	16.2611239300079	16.165891610079	16.0681519799652	15.8127248098942	15.6697953599994	-0.954694402385255	-0.895497861961704	-0.118669644656599	0.970327953755147	-0.662888814648749
1	"sp|P13379|CD5_MOUSE"	14.0830308196371	13.8990821303856	14.2814898603332	14.3324588798623	14.0907583203482	14.3595501596928	13.8325184802652	13.5270569505839	-0.737267218121599	-0.590513430367123	0.322254628171799	0.804919952347207	-0.316678186022959
1	"sp|P31996|CD68_MOUSE"	16.8162676099055	16.8233312294469	16.8466755494711	16.7145524106099	16.7210378202467	16.6607907105397	16.2929347199917	16.1160321399009	-0.971814448133011	-0.899193390442329	-0.158105402047821	0.974938375544102	-0.640643658497418
1	"sp|P10300|CD8B_MOUSE"	16.1906634700589	16.2736844499486	16.0562703900738	16.178980099964	16.2517186499729	16.2129925699671	15.6426738600788	15.7588280000003	-0.94703539501739	-0.755598501377535	0.0519171158753304	0.909351238692152	-0.399376246125536
1	"sp|O89103|C1QR1_MOUSE"	18.9920483200188	18.9377684600507	19.1107388798882	19.0717179199967	19.03543686988	19.0197832000006	18.7726224100411	18.6926386299865	-0.903588846165943	-0.771194968521505	0.121663993713903	0.935542467379501	-0.488476880466894
1	"sp|Q8K389|CK5P2_MOUSE"	16.1305805699795	16.1881359899937	16.2162499600254	16.1470935600364	16.0799496399463	15.9680845599286	15.8226703399181	15.822216439896	-0.930083698586399	-0.964021619059026	-0.387003664021688	0.928911175330221	-0.802592342813216
1	"sp|Q8CEQ0|CDKL1_MOUSE"	17.5807252101415	17.3788316198529	17.6931229102639	17.6019497999502	17.6646257700728	17.6332666301407	17.2523697697741	17.3215357700895	-0.77230053109602	-0.560846410561428	0.32608597750858	0.795795110301966	-0.248900336181849
1	"sp|Q60772|CDN2C_MOUSE"	16.2143106600845	16.2170023000189	16.2740616600708	16.3222077399932	16.2738793299801	16.3781687900473	15.9759706100045	16.0909366300094	-0.824731856278137	-0.610433684312664	0.329760363820217	0.837633103352783	-0.241721911406339
1	"sp|Q60773|CDN2D_MOUSE"	15.9082064700475	15.8919182000244	15.833267570064	15.7537915300411	15.9206335399568	16.0334245399066	15.63759808005	15.5622979101404	-0.801849160783407	-0.520325917454557	0.331400904967955	0.786928632553532	-0.10650471364746
