X.GN.	X.Pr0B_0h1.	X.ProB_0h2.	X.Pr0B_1h1.	X.Pr0B_1h2.	X.Pr0B_4h1.	X.Pr0B_4h2.	X.Pr0B_16h1.	X.Pr0B_16h2.	a
"sp|Q60648|SAP3_MOUSE"	19.3370357000308	19.3293357900138	19.3654762300483	19.3599979400402	19.2923731601074	19.4276310900781	19.0285687898866	19.0941464501009	0.938922961105265
"sp|P20491|FCERG_MOUSE"	15.7531840700631	15.9400068300849	15.7942530500736	16.0847258400137	15.6978605800095	15.8431717201033	14.9733392702103	15.2138869800027	0.938762188342962
"sp|Q8K4R9|DLGP5_MOUSE"	17.739661759842	17.6536981901413	17.7436953902101	17.6670876598566	17.5305937597495	17.6651046997539	17.3927601001787	17.1951603498458	0.938627896147779
"sp|Q60775|ELF1_MOUSE"	18.9466762101122	18.9278327199711	18.9671134298686	18.8617196299979	18.9631271899758	18.936204469909	18.6953093500615	18.6278553800723	0.938161306252358
"sp|Q921F4|HNRLL_MOUSE"	15.8675768500341	15.6473575798736	15.7089884999065	15.8169509000876	15.5068982900173	15.6883392100168	15.1937164098472	15.2161301499197	0.93786432160729
"sp|Q9CZE3|RAB32_MOUSE"	18.046002460209	17.973765059985	18.1493177097676	18.1184740901522	17.9048736499477	18.0118612298117	17.7383089999805	17.6879386902394	0.937646503616713
"sp|Q9D2V7|CORO7_MOUSE"	21.1973120601003	21.184876999917	21.1731793699335	21.1950739700574	21.2232715602694	21.0584821397705	20.8944633800748	20.8930584901182	0.937642634540982
"sp|Q58FA4|E2F8_MOUSE"	17.0668747499227	16.9709103196158	17.0626645404194	17.078734360396	16.9593404105356	17.0604625397062	16.8055236101081	16.6379005300573	0.937577165253066
"sp|Q80VJ3|DNPH1_MOUSE"	15.9799982899436	15.9349103500934	15.9798311199461	15.9747261300283	15.9384552999163	15.9249364100835	15.6128256099294	15.7589435600886	0.937543790622342
"sp|Q62407|SPEG_MOUSE"	15.3790808401124	15.3211720401409	15.4854498398771	15.3448824599081	15.3030370399753	15.3234035598778	15.1298825000238	15.0689355801749	0.937535068346966
